,full_aspect,aspect,opinion,opinion_tags,aspect_tags,valence1,valence2,valence3,valence4,arousal1,arousal2,arousal3,arousal4,dominance1,dominance2,dominance3,dominance4
1,first account,account,first,"[('first', 'JJ')]","[('account', 'NN')]",5.61,5.655,6.297,6.752,4.325,4.415,3.967,4.068,5.475,5.543,5.77,6.123
2,new account,account,new,"[('new', 'JJ')]","[('account', 'NN')]",5.918,6.03,6.494,7.046,4.528,4.691,4.522,4.905,5.532,5.626,5.61,5.885
3,good addition,addition,good,"[('good', 'JJ')]","[('addition', 'NN')]",6.402,7.41,6.49,7.593,4.343,3.877,4.293,3.773,5.767,6.287,5.818,6.398
4,great addition,addition,great,"[('great', 'JJ')]","[('addition', 'NN')]",5.989,6.467,6.132,6.762,4.498,4.287,4.498,4.225,5.714,6.045,5.792,6.233
5,useful addition,addition,useful,"[('useful', 'JJ')]","[('addition', 'NN')]",5.826,6.108,6.234,6.848,4.392,4.22,4.422,4.134,5.726,5.972,6.014,6.514
6,very good addition,addition,very good,"[('very', 'RB'), ('good', 'JJ')]","[('addition', 'NN')]",6.85,7.78,6.85,7.78,3.93,3.39,3.93,3.39,6.28,6.93,6.28,6.93
7,good advice,advice,good,"[('good', 'JJ')]","[('advice', 'NN')]",6.734,7.27,6.976,7.707,3.78,4.051,3.515,3.789,6.04,6.171,6.178,6.385
8,false alarm,alarm,false,"[('false', 'JJ')]","[('alarm', 'NN')]",4.493,5.041,4.447,4.984,5.845,4.976,5.853,4.964,5.76,5.026,5.744,4.987
9,good alternative,alternative,good,"[('good', 'JJ')]","[('alternative', 'NN')]",5.758,5.869,6.097,6.485,4.342,4.559,4.078,4.312,5.709,5.539,6.078,5.956
10,fair amount,amount,fair,"[('fair', 'JJ')]","[('amount', 'NN')]",5.801,5.878,6.387,6.87,3.952,4.007,3.449,3.411,5.616,5.659,5.928,6.198
11,huge amount,amount,huge,"[('huge', 'JJ')]","[('amount', 'NN')]",5.491,5.524,5.434,5.439,4.361,4.464,3.736,3.845,5.394,5.4,5.039,4.86
12,small amount,amount,small,"[('small', 'JJ')]","[('amount', 'NN')]",5.953,6.068,6.033,6.34,3.992,4.07,3.638,3.698,5.51,5.523,5.647,5.775
13,good answer,answer,good,"[('good', 'JJ')]","[('answer', 'NN')]",6.046,6.066,6.844,7.218,4.002,3.984,3.654,3.48,5.722,5.706,6.126,6.212
14,right answer,answer,right,"[('right', 'JJ')]","[('answer', 'NN')]",6.032,6.026,6.792,7.14,4.432,4.52,4.214,4.32,5.834,5.814,6.498,6.772
15,current api,api,current,"[('current', 'JJ')]","[('api', 'NN')]",5.682,5.792,5.754,6.132,4.301,4.182,3.947,3.423,5.611,5.715,5.775,6.162
16,good api,api,good,"[('good', 'JJ')]","[('api', 'NN')]",5.79,5.958,6.377,7.068,4.357,4.215,4.213,3.82,5.472,5.568,5.847,6.273
17,new api,api,new,"[('new', 'JJ')]","[('api', 'NN')]",5.904,6.148,6.251,6.875,4.522,4.417,4.595,4.392,5.432,5.534,5.449,5.673
18,other api,api,other,"[('other', 'JJ')]","[('api', 'NN')]",5.654,5.858,5.83,6.25,4.14,3.912,3.97,3.456,5.636,5.828,5.794,6.194
19,public api,api,public,"[('public', 'JJ')]","[('api', 'NN')]",5.521,5.603,5.544,5.815,4.275,4.157,4.076,3.614,5.331,5.374,5.272,5.409
20,external app,app,external,"[('external', 'JJ')]","[('app', 'NN')]",5.83,5.97,5.926,6.386,3.942,3.754,3.658,2.984,5.728,5.854,5.708,6.06
21,more app,app,more,"[('more', 'JJ')]","[('app', 'NN')]",5.12,5.17,4.85,4.77,4.612,4.516,4.68,4.516,5.266,5.346,5.392,5.584
22,native app,app,native,"[('native', 'JJ')]","[('app', 'NN')]",5.473,5.538,5.68,6.017,4.28,4.182,3.852,3.277,5.503,5.568,5.725,6.088
23,other app,app,other,"[('other', 'JJ')]","[('app', 'NN')]",5.472,5.559,5.532,5.799,4.294,4.157,4.039,3.56,5.523,5.62,5.768,6.153
24,privileged app,app,privileged,"[('privileged', 'JJ')]","[('app', 'NN')]",5.753,5.893,5.821,6.237,4.494,4.411,4.378,4.061,5.764,5.91,5.918,6.376
25,other application,application,other,"[('other', 'JJ')]","[('application', 'NN')]",5.478,5.551,5.645,5.941,4.31,4.271,4.038,3.799,5.417,5.638,5.595,6.243
26,basic approach,approach,basic,"[('basic', 'JJ')]","[('approach', 'NN')]",5.593,5.616,5.946,6.19,4.173,4.096,3.609,3.176,5.774,5.744,6.21,6.301
27,correct approach,approach,correct,"[('correct', 'JJ')]","[('approach', 'NN')]",5.906,6.022,6.286,6.708,3.978,3.838,3.712,3.328,5.978,5.952,6.386,6.56
28,current approach,approach,current,"[('current', 'JJ')]","[('approach', 'NN')]",5.223,5.188,5.39,5.36,4.362,4.357,3.963,3.703,5.407,5.331,5.699,5.53
29,different approach,approach,different,"[('different', 'JJ')]","[('approach', 'NN')]",5.593,5.616,6.141,6.487,4.349,4.316,3.88,3.58,5.571,5.5,5.923,5.869
30,general approach,approach,general,"[('general', 'JJ')]","[('approach', 'NN')]",5.766,5.862,5.732,5.874,4.166,4.096,4.086,3.894,5.662,5.624,5.944,5.904
31,good approach,approach,good,"[('good', 'JJ')]","[('approach', 'NN')]",6.19,6.419,6.64,7.258,4.097,3.992,3.848,3.524,5.918,5.904,6.239,6.349
32,interesting approach,approach,interesting,"[('interesting', 'JJ')]","[('approach', 'NN')]",5.87,5.99,6.206,6.59,4.73,4.808,4.658,4.75,5.94,5.918,6.35,6.514
33,new approach,approach,new,"[('new', 'JJ')]","[('approach', 'NN')]",5.87,6.003,6.485,7.003,4.415,4.39,4.287,4.19,5.575,5.483,5.847,5.755
34,reasonable approach,approach,reasonable,"[('reasonable', 'JJ')]","[('approach', 'NN')]",5.898,6.07,6.031,6.32,3.656,3.348,3.591,3.149,5.729,5.621,5.982,5.96
35,right approach,approach,right,"[('right', 'JJ')]","[('approach', 'NN')]",6.014,6.172,6.408,6.884,4.371,4.345,4.512,4.528,6.038,6.052,6.434,6.638
36,safe approach,approach,safe,"[('safe', 'JJ')]","[('approach', 'NN')]",5.857,5.91,6.798,7.477,4.082,4.032,3.568,3.113,5.858,5.837,6.445,6.653
37,same approach,approach,same,"[('same', 'JJ')]","[('approach', 'NN')]",5.396,5.399,5.617,5.704,4.301,4.25,4.107,3.917,5.486,5.407,5.661,5.48
38,new attachment,attachment,new,"[('new', 'JJ')]","[('attachment', 'NN')]",6.185,6.377,6.718,7.148,4.022,4.407,3.857,4.395,5.672,5.44,5.905,5.652
39,first attempt,attempt,first,"[('first', 'JJ')]","[('attempt', 'NN')]",5.745,5.718,6.345,6.515,4.369,4.261,4.478,4.249,5.66,5.666,6.157,6.406
40,new attempt,attempt,new,"[('new', 'JJ')]","[('attempt', 'NN')]",5.627,5.574,5.853,5.771,4.699,4.66,4.557,4.361,5.297,5.244,5.699,5.709
41,first half attempt,attempt,first half,"[('first', 'JJ'), ('half', 'JJ')]","[('attempt', 'NN')]",5.46,5.37,6,6,4.72,4.69,4.53,4.33,5.48,5.45,5.96,6.1
42,new attribute,attribute,new,"[('new', 'JJ')]","[('attribute', 'NN')]",5.97,6.086,6.373,6.724,4.541,4.654,4.298,4.383,5.594,5.519,5.817,5.728
